aub,372,http://auburn.craigslist.org,Auburn,Alabama,*US*
bhm,127,http://bham.craigslist.org,Birmingham,Alabama,*US*
dhn,467,http://dothan.craigslist.org,Dothan,Alabama,*US*
msl,560,http://shoals.craigslist.org,Florence / Muscle Shoals,Alabama,*US*
anb,559,http://gadsden.craigslist.org,Gadsden-Anniston,Alabama,*US*
hsv,231,http://huntsville.craigslist.org,Huntsville / Decatur,Alabama,*US*
mob,200,http://mobile.craigslist.org,Mobile,Alabama,*US*
mgm,207,http://montgomery.craigslist.org,Montgomery,Alabama,*US*
tsc,371,http://tuscaloosa.craigslist.org,Tuscaloosa,Alabama,*US*
anc,51,http://anchorage.craigslist.org,Anchorage / Mat-Su,Alaska,*US*
fai,677,http://fairbanks.craigslist.org,Fairbanks,Alaska,*US*
ena,678,http://kenai.craigslist.org,Kenai Peninsula,Alaska,*US*
jnu,676,http://juneau.craigslist.org,Southeast Alaska,Alaska,*US*
flg,244,http://flagstaff.craigslist.org,Flagstaff / Sedona,Arizona,*US*
mhv,565,http://mohave.craigslist.org,Mohave County,Arizona,*US*
phx,18,http://phoenix.craigslist.org,Phoenix,Arizona,*US*
prc,419,http://prescott.craigslist.org,Prescott,Arizona,*US*
sow,651,http://showlow.craigslist.org,Show Low,Arizona,*US*
fhu,468,http://sierravista.craigslist.org,Sierra Vista,Arizona,*US*
tus,57,http://tucson.craigslist.org,Tucson,Arizona,*US*
yum,370,http://yuma.craigslist.org,Yuma,Arizona,*US*
fyv,293,http://fayar.craigslist.org,Fayetteville,Arkansas,*US*
fsm,358,http://fortsmith.craigslist.org,Fort Smith,Arkansas,*US*
jbr,425,http://jonesboro.craigslist.org,Jonesboro,Arkansas,*US*
lit,100,http://littlerock.craigslist.org,Little Rock,Arkansas,*US*
txk,359,http://texarkana.craigslist.org,Texarkana,Arkansas,*US*
bak,63,http://bakersfield.craigslist.org,Bakersfield,California,*US*
chc,187,http://chico.craigslist.org,Chico,California,*US*
fre,43,http://fresno.craigslist.org,Fresno / Madera,California,*US*
gld,373,http://goldcountry.craigslist.org,Gold Country,California,*US*
hnf,709,http://hanford.craigslist.org,Hanford-Corcoran,California,*US*
hmb,189,http://humboldt.craigslist.org,Humboldt County,California,*US*
imp,455,http://imperial.craigslist.org,Imperial County,California,*US*
inl,104,http://inlandempire.craigslist.org,Inland Empire,California,*US*
lax,7,http://losangeles.craigslist.org,Los Angeles,California,*US*
mdo,454,http://mendocino.craigslist.org,Mendocino County,California,*US*
mer,285,http://merced.craigslist.org,Merced,California,*US*
mod,96,http://modesto.craigslist.org,Modesto,California,*US*
mtb,102,http://monterey.craigslist.org,Monterey Bay,California,*US*
orc,103,http://orangecounty.craigslist.org,Orange County,California,*US*
psp,209,http://palmsprings.craigslist.org,Palm Springs,California,*US*
rdd,188,http://redding.craigslist.org,Redding,California,*US*
sac,12,http://sacramento.craigslist.org,Sacramento,California,*US*
sdo,8,http://sandiego.craigslist.org,San Diego,California,*US*
sfo,1,http://sfbay.craigslist.org,San Francisco Bay Area,California,*US*
slo,191,http://slo.craigslist.org,San Luis Obispo,California,*US*
sba,62,http://santabarbara.craigslist.org,Santa Barbara,California,*US*
smx,710,http://santamaria.craigslist.org,Santa Maria,California,*US*
ssk,708,http://siskiyou.craigslist.org,Siskiyou County,California,*US*
stk,97,http://stockton.craigslist.org,Stockton,California,*US*
ssn,707,http://susanville.craigslist.org,Susanville,California,*US*
oxr,208,http://ventura.craigslist.org,Ventura County,California,*US*
vis,346,http://visalia.craigslist.org,Visalia-Tulare,California,*US*
ybs,456,http://yubasutter.craigslist.org,Yuba-Sutter,California,*US*
bou,319,http://boulder.craigslist.org,Boulder,Colorado,*US*
cos,210,http://cosprings.craigslist.org,Colorado Springs,Colorado,*US*
den,13,http://denver.craigslist.org,Denver,Colorado,*US*
eco,713,http://eastco.craigslist.org,Eastern Co,Colorado,*US*
ftc,287,http://fortcollins.craigslist.org,Fort Collins / North Co,Colorado,*US*
rck,288,http://rockies.craigslist.org,High Rockies,Colorado,*US*
pub,315,http://pueblo.craigslist.org,Pueblo,Colorado,*US*
gjt,320,http://westslope.craigslist.org,Western Slope,Colorado,*US*
nlo,281,http://newlondon.craigslist.org,Eastern Ct,Connecticut,*US*
htf,44,http://hartford.craigslist.org,Hartford,Connecticut,*US*
hvn,168,http://newhaven.craigslist.org,New Haven,Connecticut,*US*
nct,354,http://nwct.craigslist.org,Northwest Ct,Connecticut,*US*
dlw,193,http://delaware.craigslist.org,Delaware,Delaware,*US*
wdc,10,http://washingtondc.craigslist.org,Washington,District of Columbia,*US*
dab,238,http://daytona.craigslist.org,Daytona Beach,Florida,*US*
key,330,http://keys.craigslist.org,Florida Keys,Florida,*US*
mia,20,http://fortlauderdale.craigslist.org,Fort Lauderdale,Florida,*US*
fmy,125,http://fortmyers.craigslist.org,Ft Myers / Sw Florida,Florida,*US*
gnv,219,http://gainesville.craigslist.org,Gainesville,Florida,*US*
cfl,639,http://cfl.craigslist.org,Heartland Florida,Florida,*US*
jax,80,http://jacksonville.craigslist.org,Jacksonville,Florida,*US*
lal,376,http://lakeland.craigslist.org,Lakeland,Florida,*US*
lcq,638,http://lakecity.craigslist.org,North Central Fl,Florida,*US*
oca,333,http://ocala.craigslist.org,Ocala,Florida,*US*
yps,640,http://okaloosa.craigslist.org,Okaloosa / Walton,Florida,*US*
orl,39,http://orlando.craigslist.org,Orlando,Florida,*US*
pfn,562,http://panamacity.craigslist.org,Panama City,Florida,*US*
pns,203,http://pensacola.craigslist.org,Pensacola,Florida,*US*
srq,237,http://sarasota.craigslist.org,Sarasota-Bradenton,Florida,*US*
mia,20,http://miami.craigslist.org,South Florida,Florida,*US*
mlb,331,http://spacecoast.craigslist.org,Space Coast,Florida,*US*
ust,557,http://staugustine.craigslist.org,St Augustine,Florida,*US*
tal,186,http://tallahassee.craigslist.org,Tallahassee,Florida,*US*
tpa,37,http://tampa.craigslist.org,Tampa Bay Area,Florida,*US*
psl,332,http://treasure.craigslist.org,Treasure Coast,Florida,*US*
mia,20,http://westpalmbeach.craigslist.org,West Palm Beach,Florida,*US*
aby,637,http://albanyga.craigslist.org,Albany,Georgia,*US*
ahn,258,http://athensga.craigslist.org,Athens,Georgia,*US*
atl,14,http://atlanta.craigslist.org,Atlanta,Georgia,*US*
aug,256,http://augusta.craigslist.org,Augusta,Georgia,*US*
bwk,570,http://brunswick.craigslist.org,Brunswick,Georgia,*US*
csg,343,http://columbusga.craigslist.org,Columbus,Georgia,*US*
mcn,257,http://macon.craigslist.org,Macon / Warner Robins,Georgia,*US*
nwg,636,http://nwga.craigslist.org,Northwest Ga,Georgia,*US*
sav,205,http://savannah.craigslist.org,Savannah / Hinesville,Georgia,*US*
tbr,635,http://statesboro.craigslist.org,Statesboro,Georgia,*US*
vld,427,http://valdosta.craigslist.org,Valdosta,Georgia,*US*
hnl,28,http://honolulu.craigslist.org,Hawaii,Hawaii,*US*
boi,52,http://boise.craigslist.org,Boise,Idaho,*US*
eid,424,http://eastidaho.craigslist.org,East Idaho,Idaho,*US*
lws,654,http://lewiston.craigslist.org,Lewiston / Clarkston,Idaho,*US*
twf,469,http://twinfalls.craigslist.org,Twin Falls,Idaho,*US*
bln,344,http://bn.craigslist.org,Bloomington-Normal,Illinois,*US*
chm,190,http://chambana.craigslist.org,Champaign Urbana,Illinois,*US*
chi,11,http://chicago.craigslist.org,Chicago,Illinois,*US*
dil,569,http://decatur.craigslist.org,Decatur,Illinois,*US*
lsl,698,http://lasalle.craigslist.org,La Salle Co,Illinois,*US*
mto,699,http://mattoon.craigslist.org,Mattoon-Charleston,Illinois,*US*
pia,224,http://peoria.craigslist.org,Peoria,Illinois,*US*
rfd,223,http://rockford.craigslist.org,Rockford,Illinois,*US*
cbd,345,http://carbondale.craigslist.org,Southern Illinois,Illinois,*US*
spi,225,http://springfieldil.craigslist.org,Springfield,Illinois,*US*
qcy,697,http://quincy.craigslist.org,Western Il,Illinois,*US*
bmg,229,http://bloomington.craigslist.org,Bloomington,Indiana,*US*
ew,227,http://evansville.craigslist.org,Evansville,Indiana,*US*
fwa,226,http://fortwayne.craigslist.org,Fort Wayne,Indiana,*US*
ind,45,http://indianapolis.craigslist.org,Indianapolis,Indiana,*US*
okk,672,http://kokomo.craigslist.org,Kokomo,Indiana,*US*
laf,360,http://tippecanoe.craigslist.org,Lafayette / West Lafayette,Indiana,*US*
mun,361,http://muncie.craigslist.org,Muncie / Anderson,Indiana,*US*
rin,671,http://richmondin.craigslist.org,Richmond,Indiana,*US*
sbn,228,http://southbend.craigslist.org,South Bend / Michiana,Indiana,*US*
tha,348,http://terrehaute.craigslist.org,Terre Haute,Indiana,*US*
ame,445,http://ames.craigslist.org,Ames,Iowa,*US*
ced,340,http://cedarrapids.craigslist.org,Cedar Rapids,Iowa,*US*
dsm,98,http://desmoines.craigslist.org,Des Moines,Iowa,*US*
dbq,362,http://dubuque.craigslist.org,Dubuque,Iowa,*US*
ftd,693,http://fortdodge.craigslist.org,Fort Dodge,Iowa,*US*
iac,339,http://iowacity.craigslist.org,Iowa City,Iowa,*US*
msc,692,http://masoncity.craigslist.org,Mason City,Iowa,*US*
mli,307,http://quadcities.craigslist.org,Quad Cities,Iowa,*US*
sux,341,http://siouxcity.craigslist.org,Sioux City,Iowa,*US*
otu,691,http://ottumwa.craigslist.org,Southeast Ia,Iowa,*US*
wlo,567,http://waterloo.craigslist.org,Waterloo / Cedar Falls,Iowa,*US*
lwr,347,http://lawrence.craigslist.org,Lawrence,Kansas,*US*
mhk,428,http://ksu.craigslist.org,Manhattan,Kansas,*US*
nwk,688,http://nwks.craigslist.org,Northwest Ks,Kansas,*US*
